image1,image2,label
./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_02.png,0
./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_03.png,0
./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_04.png,0
./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_05.png,0
./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_06.png,0
./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_07.png,0
./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_08.png,0
./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_09.png,0
./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_10.png,0
./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character01\0709_11.png,0
./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_02.png,1
./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_03.png,1
./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_04.png,1
./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_05.png,1
./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_06.png,1
./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_07.png,1
./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_08.png,1
./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_09.png,1
./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_10.png,1
./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character02\0710_11.png,1
./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_02.png,2
./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_03.png,2
./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_04.png,2
./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_05.png,2
./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_06.png,2
./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_07.png,2
./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_08.png,2
./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_09.png,2
./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_10.png,2
./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character03\0711_11.png,2
./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_02.png,3
./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_03.png,3
./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_04.png,3
./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_05.png,3
./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_05.png,./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_06.png,3
./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_06.png,./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_07.png,3
./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_07.png,./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_08.png,3
./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_08.png,./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_09.png,3
./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_09.png,./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_10.png,3
./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_10.png,./datasets/raw_data\Alphabet_of_the_Magi\character04\0712_11.png,3
./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_01.png,./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_02.png,4
./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_02.png,./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_03.png,4
./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_03.png,./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_04.png,4
./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_04.png,./datasets/raw_data\Alphabet_of_the_Magi\character05\0713_05.png,4
